merchant_id,merchant_name,mcc,mcc_description,city,state,onboarding_date,merchant_age_days,risk_tier,avg_ticket_size,settlement_cycle,channel,is_active
MERCH000030,Rohan Ventures,7011,Hotels / Lodging,Chandigarh,CH,2022-11-16,1384,MEDIUM,6156.46,T+1,QR_INSTORE,Y
MERCH000031,Aster Traders,4722,Travel Agencies,Panaji,GA,2020-12-26,2074,HIGH,17612.23,T+1,QR_INSTORE,Y
MERCH000032,Krishna Mart,4900,Utilities - Electric/Gas/Water,Kochi,KL,2026-02-24,188,LOW,1971.47,T+1,QR_INSTORE,Y
MERCH000033,Nimbus Solutions,4121,Taxicabs / Ride Hailing,Mumbai,MH,2024-03-04,910,LOW,307.39,T+1,QR_INSTORE,Y
MERCH000034,Bharat & Co,5912,Drug Stores / Pharmacies,Jaipur,RJ,2026-04-09,144,LOW,534.82,T+1,QR_INSTORE,Y
MERCH000035,Anand Mart,5732,Electronics Stores,Ahmedabad,GJ,2022-03-26,1619,MEDIUM,9192.91,T+1,POS_CARD,Y
MERCH000036,Prime Retail,4121,Taxicabs / Ride Hailing,Lucknow,UP,2026-06-16,76,MEDIUM,344.31,T+1,ONLINE_CHECKOUT,Y
MERCH000037,Prime Enterprises,5651,Family Clothing Stores,Nagpur,MH,2023-06-15,1173,MEDIUM,1123.77,T+1,POS_CARD,Y
MERCH000038,Bharat Solutions,5411,Grocery Stores / Supermarkets,Chandigarh,CH,2025-08-26,370,LOW,743.64,T+1,ONLINE_CHECKOUT,Y
MERCH000039,Zenith Services,5541,Service Stations (Fuel),Delhi,DL,2026-04-25,128,LOW,1116.75,T+2,ONLINE_CHECKOUT,Y
MERCH000040,Anand Supply,4900,Utilities - Electric/Gas/Water,Pune,MH,2021-01-18,2051,LOW,2800.22,T+1,ONLINE_CHECKOUT,Y
MERCH000041,Metro Retail,5541,Service Stations (Fuel),Chandigarh,CH,2022-04-26,1588,LOW,857.67,T+1,QR_INSTORE,Y
MERCH000042,Nova Depot,5912,Drug Stores / Pharmacies,Ahmedabad,GJ,2023-10-30,1036,LOW,501.98,T+1,ONLINE_CHECKOUT,Y
MERCH000043,Bharat Depot,5732,Electronics Stores,Panaji,GA,2022-07-29,1494,MEDIUM,13905.67,T+1,QR_INSTORE,Y
MERCH000044,Sagar Mart,4121,Taxicabs / Ride Hailing,Kolkata,WB,2026-05-21,102,MEDIUM,269.19,T+1,ONLINE_CHECKOUT,Y
MERCH000045,Nimbus Enterprises,5651,Family Clothing Stores,Bengaluru,KA,2026-01-30,213,MEDIUM,2618.93,T+1,QR_INSTORE,Y
MERCH000046,Vertex Depot,5814,Fast Food Restaurants,Pune,MH,2024-03-08,906,LOW,162.11,T+1,ONLINE_CHECKOUT,Y
MERCH000047,Sagar Ventures,5814,Fast Food Restaurants,Ahmedabad,GJ,2021-09-20,1806,LOW,213.22,T+1,ONLINE_CHECKOUT,N
MERCH000048,Anand Hub,5814,Fast Food Restaurants,Bengaluru,KA,2022-12-11,1359,LOW,335.18,T+2,QR_INSTORE,Y
MERCH000049,Krishna Supply,4900,Utilities - Electric/Gas/Water,Jaipur,RJ,2024-09-02,728,LOW,1305.23,T+1,QR_INSTORE,Y
MERCH000050,Vertex Supply,5999,Miscellaneous Retail,Nagpur,MH,2026-01-10,233,MEDIUM,896.99,T+1,QR_INSTORE,Y
MERCH000051,Kalpana Retail,5651,Family Clothing Stores,Hyderabad,TG,2022-02-04,1669,MEDIUM,1340.16,T+1,ONLINE_CHECKOUT,Y
MERCH000052,Zenith Ventures,5541,Service Stations (Fuel),Jaipur,RJ,2026-04-11,142,LOW,1653.59,T+1,ONLINE_CHECKOUT,Y
MERCH000053,Krishna Traders,5411,Grocery Stores / Supermarkets,Jaipur,RJ,2021-01-16,2053,LOW,600.37,T+2,QR_INSTORE,Y
MERCH000054,Prime Traders,5814,Fast Food Restaurants,Lucknow,UP,2022-06-27,1526,LOW,289.55,T+1,POS_CARD,Y
MERCH000055,Aster Retail,6051,Quasi-Cash / Wallet Load,Bengaluru,KA,2021-02-22,2016,HIGH,6555.86,T+1,QR_INSTORE,Y
MERCH000056,Vertex Traders,5541,Service Stations (Fuel),Nagpur,MH,2025-07-21,406,LOW,1055.48,T+1,QR_INSTORE,Y
MERCH000057,Rohan Retail,5541,Service Stations (Fuel),Ahmedabad,GJ,2022-04-10,1604,LOW,2020.19,T+2,ONLINE_CHECKOUT,Y
MERCH000058,Nimbus Ventures,5411,Grocery Stores / Supermarkets,Bengaluru,KA,2022-11-27,1373,LOW,1236.93,T+1,QR_INSTORE,Y
MERCH000059,Vertex Stores,5541,Service Stations (Fuel),Chennai,TN,2023-04-13,1236,LOW,1845.44,T+2,POS_CARD,Y
MERCH000060,Nova Retail,5411,Grocery Stores / Supermarkets,Panaji,GA,2022-04-19,1595,LOW,826.96,T+1,QR_INSTORE,Y
MERCH000061,Lakshmi Ventures,5651,Family Clothing Stores,Jaipur,RJ,2025-09-01,364,MEDIUM,2243.19,T+1,QR_INSTORE,Y
MERCH000062,Lakshmi Mart,5999,Miscellaneous Retail,Kochi,KL,2021-12-16,1719,MEDIUM,1357.08,T+1,QR_INSTORE,Y
MERCH000063,Aster Traders,4722,Travel Agencies,Hyderabad,TG,2025-06-13,444,HIGH,26962.41,T+1,POS_CARD,Y
MERCH000064,Lakshmi Services,5732,Electronics Stores,Kolkata,WB,2022-01-30,1674,MEDIUM,13796.36,T+1,POS_CARD,Y
MERCH000065,Aster Supply,4900,Utilities - Electric/Gas/Water,Hyderabad,TG,2025-06-18,439,LOW,2294.28,T+1,ONLINE_CHECKOUT,Y
MERCH000066,Sagar Ventures,5732,Electronics Stores,Indore,MP,2026-05-12,111,MEDIUM,12185.88,T+1,POS_CARD,Y
MERCH000067,Kalpana Stores,5411,Grocery Stores / Supermarkets,Hyderabad,TG,2020-09-11,2180,LOW,696.93,T+1,QR_INSTORE,Y
MERCH000068,Nova Retail,5411,Grocery Stores / Supermarkets,Chandigarh,CH,2026-02-08,204,LOW,1202.16,T+2,QR_INSTORE,Y
MERCH000069,Metro Mart,5814,Fast Food Restaurants,Hyderabad,TG,2022-05-11,1573,LOW,349.28,T+1,QR_INSTORE,Y
MERCH000070,Zenith Stores,4722,Travel Agencies,Chennai,TN,2024-03-03,911,HIGH,32511.24,T+1,QR_INSTORE,Y
MERCH000071,Zenith Retail,5411,Grocery Stores / Supermarkets,Delhi,DL,2020-11-09,2121,LOW,775.35,T+1,ONLINE_CHECKOUT,Y
MERCH000072,Rohan Ventures,5814,Fast Food Restaurants,Kolkata,WB,2023-07-27,1131,LOW,175.47,T+1,QR_INSTORE,Y
MERCH000073,Lakshmi Stores,5411,Grocery Stores / Supermarkets,Jaipur,RJ,2024-08-20,741,LOW,898.25,T+1,ONLINE_CHECKOUT,Y
MERCH000074,Metro Solutions,5411,Grocery Stores / Supermarkets,Kochi,KL,2025-08-09,387,LOW,1258.33,T+1,ONLINE_CHECKOUT,Y
MERCH000075,Krishna Depot,4121,Taxicabs / Ride Hailing,Pune,MH,2025-11-12,292,LOW,328.35,T+1,QR_INSTORE,Y
MERCH000076,Bharat Enterprises,5814,Fast Food Restaurants,Chandigarh,CH,2021-09-09,1817,LOW,236.34,T+1,POS_CARD,Y
MERCH000077,Nova Enterprises,5651,Family Clothing Stores,Guwahati,AS,2022-02-12,1661,MEDIUM,2220.36,T+1,QR_INSTORE,Y
MERCH000078,Lakshmi Enterprises,4900,Utilities - Electric/Gas/Water,Hyderabad,TG,2023-02-25,1283,LOW,1389.71,T+0,QR_INSTORE,Y
MERCH000079,Metro Stores,5541,Service Stations (Fuel),Pune,MH,2025-02-13,564,LOW,1974.13,T+1,QR_INSTORE,Y
MERCH000080,Krishna Traders,5651,Family Clothing Stores,Lucknow,UP,2026-07-12,50,HIGH,1989.8,T+1,QR_INSTORE,Y
MERCH000081,Krishna Traders,5814,Fast Food Restaurants,Indore,MP,2023-03-25,1255,LOW,366.87,T+1,POS_CARD,Y
MERCH000082,Kalpana Stores,7011,Hotels / Lodging,Lucknow,UP,2026-04-14,139,MEDIUM,9555.78,T+1,POS_CARD,Y
MERCH000083,Nimbus Depot,5411,Grocery Stores / Supermarkets,Pune,MH,2021-07-18,1870,LOW,1237.41,T+2,ONLINE_CHECKOUT,Y
MERCH000084,Urban Solutions,5541,Service Stations (Fuel),Pune,MH,2020-12-08,2092,LOW,1706.98,T+2,ONLINE_CHECKOUT,Y
MERCH000085,Lakshmi Hub,4900,Utilities - Electric/Gas/Water,Nagpur,MH,2023-06-18,1170,LOW,2459.28,T+2,POS_CARD,Y
MERCH000086,Vertex Mart,5411,Grocery Stores / Supermarkets,Jaipur,RJ,2023-10-02,1064,LOW,559.24,T+1,ONLINE_CHECKOUT,Y
MERCH000087,Vertex Enterprises,5411,Grocery Stores / Supermarkets,Mumbai,MH,2024-06-05,817,LOW,549.77,T+0,ONLINE_CHECKOUT,Y
MERCH000088,Lakshmi Hub,5411,Grocery Stores / Supermarkets,Kochi,KL,2022-03-13,1632,LOW,603.61,T+1,QR_INSTORE,Y
MERCH000089,Metro Solutions,5814,Fast Food Restaurants,Jaipur,RJ,2025-04-07,511,LOW,290.95,T+1,ONLINE_CHECKOUT,Y
MERCH000090,Shree Ventures,5411,Grocery Stores / Supermarkets,Mumbai,MH,2024-11-14,655,LOW,577.72,T+2,ONLINE_CHECKOUT,Y
MERCH000091,Sagar Services,4900,Utilities - Electric/Gas/Water,Guwahati,AS,2023-12-27,978,LOW,2819.39,T+2,ONLINE_CHECKOUT,Y
MERCH000092,Urban Ventures,5814,Fast Food Restaurants,Indore,MP,2025-07-24,403,LOW,211.39,T+1,ONLINE_CHECKOUT,Y
MERCH000093,Aster Supply,4121,Taxicabs / Ride Hailing,Hyderabad,TG,2020-11-19,2111,HIGH,259.14,T+1,QR_INSTORE,Y
MERCH000094,Nimbus Mart,5411,Grocery Stores / Supermarkets,Jaipur,RJ,2024-11-16,653,LOW,614.74,T+2,POS_CARD,Y
MERCH000095,Zenith Enterprises,5912,Drug Stores / Pharmacies,Mumbai,MH,2022-03-01,1644,LOW,412.98,T+1,POS_CARD,Y
MERCH000096,Shree Retail,5541,Service Stations (Fuel),Delhi,DL,2024-04-20,863,LOW,899.67,T+1,POS_CARD,Y
MERCH000097,Aster Solutions,5999,Miscellaneous Retail,Lucknow,UP,2025-08-17,379,MEDIUM,1072.69,T+2,QR_INSTORE,Y
MERCH000098,Nova Services,5732,Electronics Stores,Indore,MP,2022-08-06,1486,MEDIUM,15854.87,T+1,ONLINE_CHECKOUT,Y
MERCH000099,Aster Solutions,5651,Family Clothing Stores,Jaipur,RJ,2024-07-29,763,MEDIUM,2126.64,T+1,ONLINE_CHECKOUT,Y
MERCH000100,Anand Ventures,5814,Fast Food Restaurants,Kochi,KL,2026-03-07,177,LOW,378.6,T+2,POS_CARD,Y
MERCH000101,Kalpana Mart,4900,Utilities - Electric/Gas/Water,Ahmedabad,GJ,2021-03-01,2009,LOW,2709.67,T+1,ONLINE_CHECKOUT,Y
MERCH000102,Prime Depot,5411,Grocery Stores / Supermarkets,Chennai,TN,2026-01-02,241,LOW,774.03,T+2,QR_INSTORE,Y
MERCH000103,Kalpana Hub,5411,Grocery Stores / Supermarkets,Chennai,TN,2024-12-04,635,LOW,522.83,T+1,QR_INSTORE,Y
MERCH000104,Nimbus Enterprises,5999,Miscellaneous Retail,Ahmedabad,GJ,2024-04-19,864,MEDIUM,1413.86,T+2,QR_INSTORE,Y
MERCH000105,Metro Ventures,4121,Taxicabs / Ride Hailing,Kolkata,WB,2026-05-26,97,LOW,185.38,T+0,QR_INSTORE,N
MERCH000106,Kalpana Hub,5912,Drug Stores / Pharmacies,Lucknow,UP,2023-08-26,1101,LOW,380.17,T+1,QR_INSTORE,Y
MERCH000107,Metro Enterprises,6051,Quasi-Cash / Wallet Load,Ahmedabad,GJ,2021-10-02,1794,HIGH,4288.61,T+1,ONLINE_CHECKOUT,Y
MERCH000108,Kalpana Enterprises,4121,Taxicabs / Ride Hailing,Chennai,TN,2022-11-10,1390,LOW,325.13,T+1,QR_INSTORE,Y
MERCH000109,Nimbus Enterprises,4121,Taxicabs / Ride Hailing,Panaji,GA,2025-05-20,468,LOW,194.7,T+1,QR_INSTORE,Y
MERCH000110,Nimbus Hub,5814,Fast Food Restaurants,Hyderabad,TG,2023-08-05,1122,LOW,216.54,T+2,QR_INSTORE,Y
MERCH000111,Aster Ventures,7995,Betting / Gaming,Hyderabad,TG,2021-12-22,1713,HIGH,3268.5,T+1,QR_INSTORE,Y
MERCH000112,Shree Enterprises,5814,Fast Food Restaurants,Hyderabad,TG,2022-08-15,1477,LOW,252.79,T+1,QR_INSTORE,Y
MERCH000113,Shree Solutions,5999,Miscellaneous Retail,Kochi,KL,2026-04-15,138,MEDIUM,1192.25,T+1,QR_INSTORE,Y
MERCH000114,Anand Retail,5999,Miscellaneous Retail,Guwahati,AS,2022-07-15,1508,MEDIUM,1273.4,T+1,ONLINE_CHECKOUT,Y
MERCH000115,Urban Solutions,5999,Miscellaneous Retail,Chennai,TN,2021-04-01,1978,MEDIUM,958.26,T+2,POS_CARD,Y
MERCH000116,Kalpana Solutions,4900,Utilities - Electric/Gas/Water,Chandigarh,CH,2024-02-05,938,LOW,2129.48,T+1,ONLINE_CHECKOUT,Y
MERCH000117,Nimbus Enterprises,4121,Taxicabs / Ride Hailing,Delhi,DL,2022-06-07,1546,LOW,248.23,T+2,QR_INSTORE,Y
MERCH000118,Aster Mart,5411,Grocery Stores / Supermarkets,Nagpur,MH,2026-02-19,193,LOW,634.1,T+1,QR_INSTORE,Y
MERCH000119,Prime Solutions,5651,Family Clothing Stores,Nagpur,MH,2025-08-09,387,MEDIUM,1600.8,T+1,QR_INSTORE,Y
MERCH000120,Lakshmi Depot,5411,Grocery Stores / Supermarkets,Delhi,DL,2023-09-09,1087,LOW,1139.63,T+1,ONLINE_CHECKOUT,Y
MERCH000121,Urban Services,4121,Taxicabs / Ride Hailing,Kolkata,WB,2025-05-12,476,LOW,238.72,T+1,ONLINE_CHECKOUT,Y
MERCH000122,Metro Stores,5651,Family Clothing Stores,Chennai,TN,2024-02-02,941,MEDIUM,2240.52,T+1,QR_INSTORE,Y
MERCH000123,Krishna Solutions,5651,Family Clothing Stores,Indore,MP,2023-05-13,1206,MEDIUM,2568.31,T+2,QR_INSTORE,Y
MERCH000124,Nova Traders,5732,Electronics Stores,Mumbai,MH,2021-02-15,2023,MEDIUM,15417.7,T+2,POS_CARD,Y
MERCH000125,Aster Services,5999,Miscellaneous Retail,Ahmedabad,GJ,2026-03-08,176,MEDIUM,1373.51,T+2,QR_INSTORE,Y
MERCH000126,Nimbus & Co,5814,Fast Food Restaurants,Kolkata,WB,2024-09-16,714,LOW,222.01,T+1,QR_INSTORE,Y
MERCH000127,Krishna Enterprises,6051,Quasi-Cash / Wallet Load,Hyderabad,TG,2022-10-07,1424,HIGH,5956.35,T+0,POS_CARD,Y
MERCH000128,Krishna Supply,5814,Fast Food Restaurants,Panaji,GA,2023-01-04,1335,LOW,306.46,T+1,QR_INSTORE,Y
MERCH000129,Zenith Mart,6051,Quasi-Cash / Wallet Load,Kochi,KL,2023-01-20,1319,HIGH,6967.53,T+2,QR_INSTORE,Y
MERCH000130,Lakshmi Mart,4121,Taxicabs / Ride Hailing,Chandigarh,CH,2025-02-04,573,LOW,165.46,T+1,ONLINE_CHECKOUT,Y
MERCH000131,Urban Depot,5732,Electronics Stores,Jaipur,RJ,2023-04-16,1233,MEDIUM,9071.18,T+1,QR_INSTORE,Y
MERCH000132,Nimbus Retail,5651,Family Clothing Stores,Bengaluru,KA,2024-10-16,684,MEDIUM,1544.67,T+1,QR_INSTORE,Y
MERCH000133,Bharat Stores,5651,Family Clothing Stores,Hyderabad,TG,2026-02-24,188,MEDIUM,2162.78,T+1,QR_INSTORE,Y
MERCH000134,Anand Hub,5541,Service Stations (Fuel),Bengaluru,KA,2021-11-10,1755,LOW,857.25,T+1,ONLINE_CHECKOUT,Y
MERCH000135,Anand Mart,5912,Drug Stores / Pharmacies,Indore,MP,2021-10-24,1772,LOW,622.61,T+1,POS_CARD,Y
MERCH000136,Prime Retail,6051,Quasi-Cash / Wallet Load,Chennai,TN,2021-06-04,1914,HIGH,3122.07,T+0,ONLINE_CHECKOUT,Y
MERCH000137,Zenith Ventures,5541,Service Stations (Fuel),Guwahati,AS,2022-04-04,1610,LOW,1186.78,T+1,ONLINE_CHECKOUT,Y
MERCH000138,Anand Hub,5732,Electronics Stores,Ahmedabad,GJ,2025-02-11,566,MEDIUM,9528.23,T+1,QR_INSTORE,Y
MERCH000139,Bharat Mart,5411,Grocery Stores / Supermarkets,Mumbai,MH,2025-06-01,456,LOW,1270.91,T+1,ONLINE_CHECKOUT,Y
MERCH000140,Bharat Services,5411,Grocery Stores / Supermarkets,Kochi,KL,2026-01-19,224,LOW,919.57,T+0,QR_INSTORE,Y
MERCH000141,Shree & Co,5912,Drug Stores / Pharmacies,Lucknow,UP,2024-04-25,858,LOW,610.52,T+1,POS_CARD,Y
MERCH000142,Prime Supply,5967,Direct Marketing - Inbound,Ahmedabad,GJ,2023-09-29,1067,HIGH,1155.8,T+1,QR_INSTORE,Y
MERCH000143,Urban Supply,5651,Family Clothing Stores,Panaji,GA,2025-09-26,339,MEDIUM,1858.63,T+1,ONLINE_CHECKOUT,Y
MERCH000144,Krishna Depot,5411,Grocery Stores / Supermarkets,Chandigarh,CH,2022-01-20,1684,LOW,916.02,T+0,ONLINE_CHECKOUT,Y
MERCH000145,Lakshmi Supply,5732,Electronics Stores,Panaji,GA,2023-08-21,1106,MEDIUM,7454.37,T+1,QR_INSTORE,Y
MERCH000146,Rohan Solutions,5732,Electronics Stores,Guwahati,AS,2026-05-13,110,MEDIUM,17932.28,T+1,POS_CARD,Y
MERCH000147,Bharat Stores,5411,Grocery Stores / Supermarkets,Lucknow,UP,2021-06-14,1904,LOW,706.81,T+1,ONLINE_CHECKOUT,Y
MERCH000148,Metro Services,5912,Drug Stores / Pharmacies,Delhi,DL,2026-05-22,101,LOW,482.8,T+0,QR_INSTORE,Y
MERCH000149,Nova Stores,5732,Electronics Stores,Chandigarh,CH,2025-04-11,507,MEDIUM,13263.34,T+1,ONLINE_CHECKOUT,Y
MERCH000150,Anand Mart,5814,Fast Food Restaurants,Guwahati,AS,2021-06-23,1895,LOW,240.09,T+1,QR_INSTORE,Y
MERCH000151,Urban & Co,5999,Miscellaneous Retail,Kolkata,WB,2020-11-19,2111,MEDIUM,1041.93,T+1,QR_INSTORE,Y
MERCH000152,Prime Hub,5541,Service Stations (Fuel),Chennai,TN,2023-10-27,1039,LOW,1842.52,T+1,POS_CARD,Y
MERCH000153,Nimbus Retail,4900,Utilities - Electric/Gas/Water,Chennai,TN,2024-05-04,849,LOW,1245.68,T+1,POS_CARD,Y
MERCH000154,Shree Ventures,5814,Fast Food Restaurants,Nagpur,MH,2022-05-04,1580,HIGH,206.49,T+1,POS_CARD,Y
MERCH000155,Nova Solutions,5541,Service Stations (Fuel),Panaji,GA,2025-01-16,592,LOW,901.06,T+1,POS_CARD,Y
MERCH000156,Zenith Hub,4121,Taxicabs / Ride Hailing,Chennai,TN,2025-09-08,357,LOW,270.26,T+1,ONLINE_CHECKOUT,Y
MERCH000157,Nimbus Retail,5814,Fast Food Restaurants,Panaji,GA,2023-12-31,974,LOW,181.59,T+1,ONLINE_CHECKOUT,Y
MERCH000158,Anand Depot,5814,Fast Food Restaurants,Guwahati,AS,2023-06-28,1160,LOW,344.58,T+2,QR_INSTORE,Y
MERCH000159,Krishna Services,5814,Fast Food Restaurants,Mumbai,MH,2026-06-21,71,MEDIUM,274.56,T+2,QR_INSTORE,Y
MERCH000160,Urban Hub,5411,Grocery Stores / Supermarkets,Panaji,GA,2021-10-28,1768,LOW,812.45,T+1,QR_INSTORE,Y
MERCH000161,Prime Traders,7011,Hotels / Lodging,Hyderabad,TG,2023-08-29,1098,MEDIUM,7542.83,T+1,QR_INSTORE,Y
MERCH000162,Anand Hub,4900,Utilities - Electric/Gas/Water,Hyderabad,TG,2022-03-12,1633,LOW,1573.33,T+1,QR_INSTORE,Y
MERCH000163,Krishna & Co,5651,Family Clothing Stores,Jaipur,RJ,2026-03-14,170,MEDIUM,1336.24,T+1,ONLINE_CHECKOUT,Y
MERCH000164,Nova & Co,4722,Travel Agencies,Kolkata,WB,2021-03-22,1988,HIGH,23601.77,T+1,ONLINE_CHECKOUT,Y
MERCH000165,Kalpana Retail,4900,Utilities - Electric/Gas/Water,Hyderabad,TG,2023-06-21,1167,LOW,2299.3,T+1,QR_INSTORE,Y
MERCH000166,Prime Services,5651,Family Clothing Stores,Hyderabad,TG,2020-12-07,2093,MEDIUM,2289.75,T+1,ONLINE_CHECKOUT,Y
MERCH000167,Nimbus Traders,5814,Fast Food Restaurants,Bengaluru,KA,2026-06-12,80,LOW,368.97,T+0,ONLINE_CHECKOUT,Y
MERCH000168,Urban Solutions,5732,Electronics Stores,Bengaluru,KA,2024-01-25,949,MEDIUM,9137.35,T+0,POS_CARD,Y
MERCH000169,Aster Hub,5411,Grocery Stores / Supermarkets,Bengaluru,KA,2025-05-16,472,LOW,529.44,T+1,ONLINE_CHECKOUT,Y
MERCH000170,Rohan Retail,5411,Grocery Stores / Supermarkets,Ahmedabad,GJ,2022-02-20,1653,LOW,1216.74,T+1,QR_INSTORE,Y
MERCH000171,Metro Hub,5814,Fast Food Restaurants,Ahmedabad,GJ,2026-01-02,241,LOW,260.36,T+2,ONLINE_CHECKOUT,Y
MERCH000172,Lakshmi Stores,5814,Fast Food Restaurants,Ahmedabad,GJ,2024-11-22,647,LOW,271.8,T+2,ONLINE_CHECKOUT,Y
MERCH000173,Kalpana Solutions,5541,Service Stations (Fuel),Chennai,TN,2024-02-27,916,LOW,1191.74,T+0,QR_INSTORE,Y
MERCH000174,Krishna & Co,5999,Miscellaneous Retail,Chandigarh,CH,2021-12-31,1704,MEDIUM,1303.34,T+1,QR_INSTORE,Y
MERCH000175,Nimbus Mart,5411,Grocery Stores / Supermarkets,Bengaluru,KA,2025-05-18,470,LOW,532.36,T+1,ONLINE_CHECKOUT,Y
MERCH000176,Sagar Retail,5411,Grocery Stores / Supermarkets,Guwahati,AS,2020-11-02,2128,LOW,705.45,T+1,POS_CARD,Y
MERCH000177,Zenith & Co,5541,Service Stations (Fuel),Chandigarh,CH,2025-03-19,530,LOW,1351.18,T+1,QR_INSTORE,Y
MERCH000178,Krishna Services,5999,Miscellaneous Retail,Bengaluru,KA,2021-03-03,2007,MEDIUM,1234.76,T+2,ONLINE_CHECKOUT,Y
MERCH000179,Anand Solutions,7011,Hotels / Lodging,Kolkata,WB,2025-11-27,277,MEDIUM,5544.31,T+0,QR_INSTORE,Y
MERCH000180,Bharat Enterprises,4900,Utilities - Electric/Gas/Water,Delhi,DL,2023-12-04,1001,LOW,1167.73,T+2,QR_INSTORE,Y
MERCH000181,Urban Hub,5912,Drug Stores / Pharmacies,Nagpur,MH,2023-03-06,1274,LOW,590.87,T+1,QR_INSTORE,Y
MERCH000182,Bharat Stores,5732,Electronics Stores,Chandigarh,CH,2023-02-05,1303,MEDIUM,11170.4,T+1,QR_INSTORE,Y
