customer_id,device_id,device_type,is_primary,first_seen_date,last_seen_date,days_since_last_seen
CUST000022,DVC-76c6b0c611,ANDROID,Y,2025-10-18,2026-08-31,0
CUST000022,DVC-eb9796128c,ANDROID,N,2024-04-28,2026-07-17,45
CUST000023,DVC-5aa3d263d8,ANDROID,Y,2024-09-11,2026-08-25,6
CUST000024,DVC-525536b0c0,ANDROID,Y,2025-07-24,2026-08-30,1
CUST000025,DVC-4ff9b23fb5,ANDROID,Y,2024-07-21,2026-08-29,2
CUST000026,DVC-0d26705668,ANDROID,Y,2025-09-10,2026-08-28,3
CUST000027,DVC-f31786c41b,ANDROID,Y,2025-05-13,2026-08-30,1
CUST000027,DVC-9b8d7edcf9,ANDROID,N,2025-08-09,2026-07-08,54
CUST000027,DVC-e6eed3827a,ANDROID,N,2024-07-26,2026-07-24,38
CUST000028,DVC-d071b2c457,ANDROID,Y,2025-08-07,2026-08-29,2
CUST000028,DVC-7415c6b4ea,ANDROID,N,2026-01-04,2026-08-03,28
CUST000029,DVC-cce6cec7e5,IOS,Y,2026-06-24,2026-08-28,3
CUST000030,DVC-97de71a355,ANDROID,Y,2026-05-07,2026-08-28,3
CUST000030,DVC-71a770a300,ANDROID,N,2026-05-30,2026-08-22,9
CUST000030,DVC-d559e3853b,IOS,N,2026-05-14,2026-07-09,53
CUST000031,DVC-0a81b0fd75,IOS,Y,2026-01-07,2026-08-30,1
CUST000031,DVC-d73f2d5bcd,WEB,N,2025-08-21,2026-07-26,36
CUST000032,DVC-e89368c421,ANDROID,Y,2024-07-14,2026-08-29,2
CUST000033,DVC-d5c5890540,IOS,Y,2024-08-11,2026-08-28,3
CUST000033,DVC-5d456195f2,IOS,N,2024-11-18,2026-08-12,19
CUST000033,DVC-00e5e9c3fb,WEB,N,2025-04-30,2026-07-22,40
CUST000034,DVC-27e1a56eb8,ANDROID,Y,2026-07-17,2026-08-27,4
CUST000035,DVC-0e412bd834,ANDROID,Y,2026-04-02,2026-08-26,5
CUST000035,DVC-bdbe1436d7,ANDROID,N,2025-12-02,2026-06-21,71
CUST000036,DVC-126b6dfbc7,IOS,Y,2026-01-18,2026-08-30,1
CUST000037,DVC-7877e0aa66,ANDROID,Y,2025-08-14,2026-08-28,3
CUST000038,DVC-f79a8053b1,ANDROID,Y,2026-04-18,2026-08-26,5
CUST000039,DVC-b883afbb09,IOS,Y,2025-02-20,2026-08-29,2
CUST000040,DVC-78e04f9322,ANDROID,Y,2026-04-04,2026-08-25,6
CUST000041,DVC-b5b78abb9d,ANDROID,Y,2026-04-23,2026-08-31,0
CUST000041,DVC-90078aa652,ANDROID,N,2026-05-04,2026-08-13,18
CUST000042,DVC-d56094cabe,IOS,Y,2024-11-25,2026-08-26,5
CUST000043,DVC-9f4631c306,IOS,Y,2025-09-01,2026-08-28,3
CUST000043,DVC-05694ce3a1,ANDROID,N,2026-03-25,2026-05-03,120
CUST000044,DVC-abbd93537b,IOS,Y,2025-05-03,2026-08-28,3
CUST000045,DVC-57603032fc,ANDROID,Y,2026-07-08,2026-08-26,5
CUST000045,DVC-471814b0d6,IOS,N,2025-09-22,2026-08-17,14
CUST000045,DVC-51e5006af2,ANDROID,N,2025-10-18,2026-07-11,51
CUST000046,DVC-5ec167e47f,ANDROID,Y,2024-06-19,2026-08-31,0
CUST000047,DVC-7a332e557e,IOS,Y,2025-11-22,2026-08-28,3
CUST000047,DVC-7182e1dfd5,ANDROID,N,2025-10-02,2026-07-26,36
CUST000047,DVC-aa6b11e0eb,IOS,N,2025-08-02,2026-08-20,11
CUST000048,DVC-125d10a2b9,IOS,Y,2024-11-14,2026-08-31,0
CUST000048,DVC-1a41813f16,IOS,N,2026-01-17,2026-08-24,7
CUST000049,DVC-2bbc7b179e,ANDROID,Y,2025-09-24,2026-08-29,2
CUST000049,DVC-c93eac1d45,IOS,N,2024-10-31,2026-08-02,29
CUST000050,DVC-1a375c89df,ANDROID,Y,2026-01-29,2026-08-26,5
CUST000051,DVC-88d6e6ffbc,ANDROID,Y,2025-05-01,2026-08-30,1
CUST000052,DVC-ef9776a686,ANDROID,Y,2024-11-28,2026-08-29,2
CUST000053,DVC-6a9b114cc3,ANDROID,Y,2026-02-26,2026-08-31,0
CUST000054,DVC-14b353224c,IOS,Y,2026-06-27,2026-08-28,3
CUST000054,DVC-b0e3a80476,WEB,N,2026-05-12,2026-08-30,1
CUST000055,DVC-2cc4d8c2c2,IOS,Y,2025-11-02,2026-08-31,0
CUST000056,DVC-aa6e9a2389,ANDROID,Y,2025-07-06,2026-08-31,0
CUST000057,DVC-3fd8e7d93d,ANDROID,Y,2024-10-11,2026-08-25,6
CUST000057,DVC-7007bc1332,ANDROID,N,2026-05-14,2026-07-06,56
CUST000057,DVC-d137e1b585,ANDROID,N,2023-09-01,2026-01-06,237
CUST000058,DVC-942592c99b,ANDROID,Y,2025-11-09,2026-08-30,1
CUST000058,DVC-8af9245b21,ANDROID,N,2024-07-09,2026-08-10,21
CUST000059,DVC-5bbd97ad7c,ANDROID,Y,2024-12-17,2026-08-28,3
CUST000059,DVC-352b8e4046,ANDROID,N,2026-04-23,2026-06-15,77
CUST000059,DVC-cc1b9f1290,ANDROID,N,2025-05-31,2026-06-28,64
CUST000060,DVC-4b68976b83,ANDROID,Y,2024-06-20,2026-08-28,3
CUST000061,DVC-e25808bb7d,ANDROID,Y,2025-03-02,2026-08-25,6
CUST000061,DVC-f7cfe28487,ANDROID,N,2025-04-24,2026-08-28,3
CUST000062,DVC-917eec4103,ANDROID,Y,2025-01-18,2026-08-31,0
CUST000063,DVC-10188308ca,ANDROID,Y,2025-02-07,2026-08-29,2
CUST000063,DVC-fd0e7f9aac,ANDROID,N,2026-02-05,2026-08-13,18
CUST000064,DVC-8c3d44eef7,ANDROID,Y,2026-03-05,2026-08-27,4
CUST000065,DVC-d0cedc75e9,ANDROID,Y,2025-03-16,2026-08-27,4
CUST000065,DVC-043fc7bc20,WEB,N,2026-03-04,2026-08-02,29
CUST000066,DVC-eda64a1bfb,ANDROID,Y,2024-06-07,2026-08-28,3
CUST000067,DVC-c62f0b5b1e,WEB,Y,2025-12-28,2026-08-28,3
CUST000068,DVC-40b614d804,IOS,Y,2024-07-01,2026-08-25,6
CUST000069,DVC-436ce5519f,ANDROID,Y,2025-09-29,2026-08-26,5
CUST000070,DVC-0769720a1f,ANDROID,Y,2026-04-11,2026-08-26,5
CUST000071,DVC-f54f003d95,ANDROID,Y,2024-09-29,2026-08-30,1
CUST000071,DVC-2217e70bed,IOS,N,2024-06-02,2026-06-18,74
CUST000072,DVC-0c9c929545,IOS,Y,2025-09-16,2026-08-29,2
CUST000073,DVC-e4bf834bb0,WEB,Y,2026-07-25,2026-08-30,1
CUST000073,DVC-a51d93f251,ANDROID,N,2026-05-23,2026-08-07,24
CUST000074,DVC-a12702f554,ANDROID,Y,2025-05-02,2026-08-27,4
CUST000075,DVC-89370db383,ANDROID,Y,2026-03-05,2026-08-29,2
CUST000076,DVC-739edf8835,ANDROID,Y,2026-06-27,2026-08-31,0
CUST000077,DVC-64f297ac5e,ANDROID,Y,2024-04-26,2026-08-28,3
CUST000078,DVC-73e258e093,WEB,Y,2026-04-12,2026-08-31,0
CUST000079,DVC-e75a3956a4,WEB,Y,2026-07-18,2026-08-26,5
CUST000079,DVC-8172228b51,ANDROID,N,2026-03-13,2026-07-10,52
CUST000080,DVC-66063c0f92,ANDROID,Y,2024-07-12,2026-08-28,3
CUST000080,DVC-4bf4735630,ANDROID,N,2023-09-24,2026-03-07,177
CUST000081,DVC-05a3855e51,ANDROID,Y,2024-04-06,2026-08-31,0
CUST000081,DVC-258cf76e32,ANDROID,N,2024-09-06,2026-08-04,27
CUST000082,DVC-753b0e98e5,ANDROID,Y,2026-01-25,2026-08-31,0
CUST000082,DVC-e2d43b5603,ANDROID,N,2024-10-24,2026-08-22,9
CUST000083,DVC-a4f771f4e7,ANDROID,Y,2024-08-13,2026-08-27,4
CUST000083,DVC-92f4d23279,ANDROID,N,2024-03-21,2026-06-23,69
CUST000084,DVC-6d65a48e55,IOS,Y,2025-06-11,2026-08-26,5
CUST000085,DVC-0285177b53,IOS,Y,2026-01-07,2026-08-28,3
CUST000086,DVC-a8f251b710,IOS,Y,2026-04-04,2026-08-25,6
CUST000087,DVC-b8aaa23b12,IOS,Y,2026-02-12,2026-08-27,4
CUST000088,DVC-49d09d6b86,IOS,Y,2026-05-12,2026-08-25,6
CUST000088,DVC-427906f12c,ANDROID,N,2026-03-30,2026-07-08,54
CUST000089,DVC-aa9e431e0c,ANDROID,Y,2024-05-25,2026-08-31,0
CUST000089,DVC-05c544e6b2,WEB,N,2024-02-14,2026-06-15,77
CUST000090,DVC-94e05e725b,ANDROID,Y,2026-05-31,2026-08-31,0
CUST000090,DVC-24da0d4595,ANDROID,N,2025-02-17,2025-09-09,356
CUST000091,DVC-cc5e272c2c,ANDROID,Y,2026-05-26,2026-08-29,2
CUST000092,DVC-bd601527ce,ANDROID,Y,2024-10-06,2026-08-29,2
CUST000093,DVC-2f34702088,ANDROID,Y,2026-03-09,2026-08-28,3
CUST000094,DVC-7cf525634e,ANDROID,Y,2025-10-23,2026-08-28,3
CUST000095,DVC-0a505a2831,ANDROID,Y,2026-04-08,2026-08-26,5
CUST000096,DVC-5500419d44,IOS,Y,2025-05-07,2026-08-29,2
CUST000097,DVC-f797f23dd2,ANDROID,Y,2025-04-22,2026-08-25,6
CUST000097,DVC-b5961cf07d,ANDROID,N,2025-07-23,2026-08-03,28
CUST000098,DVC-b3563343fd,ANDROID,Y,2026-03-14,2026-08-27,4
CUST000098,DVC-bc32788242,ANDROID,N,2025-12-09,2026-07-28,34
CUST000098,DVC-f3e663f8c8,ANDROID,N,2024-12-23,2026-06-21,71
CUST000099,DVC-3ae6249890,ANDROID,Y,2024-06-06,2026-08-28,3
CUST000099,DVC-bdc51237e6,ANDROID,N,2025-02-07,2026-07-09,53
CUST000100,DVC-0332abe6ca,ANDROID,Y,2025-05-17,2026-08-31,0
CUST000100,DVC-ebfc2bc8e4,ANDROID,N,2024-01-30,2026-02-24,188
CUST000101,DVC-9618cd1735,IOS,Y,2024-03-11,2026-08-27,4
CUST000101,DVC-402546d3f5,ANDROID,N,2024-11-20,2026-08-19,12
CUST000102,DVC-f186112540,IOS,Y,2025-08-06,2026-08-31,0
CUST000103,DVC-d653eb0347,IOS,Y,2025-10-25,2026-08-31,0
CUST000103,DVC-34e78fa288,IOS,N,2026-06-03,2026-07-18,44
CUST000103,DVC-24dc1ffb86,ANDROID,N,2026-02-17,2026-06-30,62
CUST000104,DVC-fc96c2e66f,ANDROID,Y,2025-11-07,2026-08-28,3
CUST000104,DVC-0e8e896fa7,ANDROID,N,2025-08-07,2026-07-28,34
CUST000105,DVC-dfacdc13e4,WEB,Y,2026-05-09,2026-08-25,6
CUST000106,DVC-f519467cd2,IOS,Y,2025-06-22,2026-08-31,0
CUST000107,DVC-387f9c9bfe,ANDROID,Y,2024-10-08,2026-08-29,2
CUST000108,DVC-7c83fa3394,ANDROID,Y,2026-04-27,2026-08-31,0
CUST000108,DVC-110233763c,ANDROID,N,2024-03-24,2026-05-19,104
CUST000109,DVC-76e9dd5aad,IOS,Y,2025-12-25,2026-08-31,0
CUST000110,DVC-2b2fc8fd7a,ANDROID,Y,2024-12-18,2026-08-30,1
CUST000111,DVC-2544bbc7d3,IOS,Y,2024-11-05,2026-08-25,6
CUST000111,DVC-b3316cb962,ANDROID,N,2025-11-18,2026-08-04,27
CUST000112,DVC-8342a975b8,ANDROID,Y,2025-04-29,2026-08-28,3
CUST000112,DVC-42eefd8e54,ANDROID,N,2026-07-25,2026-08-26,5
CUST000113,DVC-f4c10c2ff5,ANDROID,Y,2026-07-20,2026-08-30,1
CUST000114,DVC-92ac554345,IOS,Y,2025-01-06,2026-08-26,5
CUST000114,DVC-2e3bd27718,ANDROID,N,2024-10-06,2026-07-23,39
CUST000115,DVC-1621ad745c,ANDROID,Y,2026-05-03,2026-08-26,5
CUST000116,DVC-1821ac21e4,ANDROID,Y,2025-06-03,2026-08-28,3
CUST000116,DVC-5cff25c02c,WEB,N,2025-01-19,2026-06-25,67
CUST000117,DVC-44e90eec2a,ANDROID,Y,2026-06-23,2026-08-26,5
CUST000118,DVC-13a70759ac,ANDROID,Y,2025-04-21,2026-08-29,2
CUST000119,DVC-edfee25ab4,ANDROID,Y,2026-07-11,2026-08-26,5
CUST000120,DVC-b36cc1e661,ANDROID,Y,2025-10-25,2026-08-28,3
CUST000120,DVC-b3e31e2167,ANDROID,N,2024-05-07,2026-08-27,4
CUST000121,DVC-b96d840716,IOS,Y,2024-09-06,2026-08-27,4
CUST000121,DVC-1a2f6f61f3,ANDROID,N,2024-03-22,2026-08-03,28
CUST000122,DVC-d408d3dbe5,ANDROID,Y,2026-06-24,2026-08-27,4
CUST000123,DVC-77f2a556cf,ANDROID,Y,2025-03-07,2026-08-30,1
CUST000124,DVC-25cbe27b5d,ANDROID,Y,2024-04-28,2026-08-29,2
CUST000124,DVC-ad878d9002,IOS,N,2024-06-07,2026-07-08,54
CUST000125,DVC-94eaf15931,ANDROID,Y,2024-05-22,2026-08-27,4
CUST000126,DVC-0748b77477,ANDROID,Y,2025-05-15,2026-08-30,1
CUST000127,DVC-7c47f72ad5,ANDROID,Y,2026-07-12,2026-08-28,3
CUST000128,DVC-f725b0e3b5,ANDROID,Y,2025-10-04,2026-08-31,0
CUST000129,DVC-f1035fba51,ANDROID,Y,2024-12-31,2026-08-29,2
CUST000130,DVC-4b26915970,IOS,Y,2026-02-05,2026-08-29,2
CUST000131,DVC-24e102cd17,WEB,Y,2025-10-28,2026-08-25,6
CUST000132,DVC-e82b3ee75f,WEB,Y,2026-06-25,2026-08-26,5
CUST000132,DVC-ac6886e418,ANDROID,N,2026-01-19,2026-06-20,72
CUST000133,DVC-c57c0d9cc2,ANDROID,Y,2025-04-06,2026-08-27,4
CUST000134,DVC-94393f9467,ANDROID,Y,2026-07-24,2026-08-25,6
CUST000134,DVC-8cdf348070,ANDROID,N,2026-07-10,2026-04-07,146
CUST000135,DVC-5433947cb0,ANDROID,Y,2025-09-25,2026-08-25,6
CUST000136,DVC-5b0104f602,IOS,Y,2024-04-27,2026-08-25,6
CUST000136,DVC-773f442e06,ANDROID,N,2024-06-17,2026-07-09,53
CUST000137,DVC-7cdac33b05,IOS,Y,2025-02-07,2026-08-30,1
CUST000137,DVC-db764d0ad5,ANDROID,N,2025-12-29,2026-08-23,8
CUST000138,DVC-242c3c001b,ANDROID,Y,2026-03-01,2026-08-31,0
CUST000139,DVC-2686d638d6,ANDROID,Y,2025-11-18,2026-08-29,2
CUST000140,DVC-583ce31ca0,ANDROID,Y,2026-07-22,2026-08-28,3
CUST000140,DVC-fc44e30f73,ANDROID,N,2025-10-28,2026-07-17,45
CUST000141,DVC-eb7b1bdb49,IOS,Y,2025-09-25,2026-08-26,5
CUST000142,DVC-9b7d742445,WEB,Y,2025-03-24,2026-08-29,2
CUST000142,DVC-87a2b1f934,ANDROID,N,2025-04-06,2026-06-21,71
CUST000143,DVC-bbdbdb8a1d,ANDROID,Y,2026-03-10,2026-08-26,5
CUST000144,DVC-9eecb17743,WEB,Y,2024-10-06,2026-08-27,4
CUST000144,DVC-3ba86708a3,IOS,N,2024-07-18,2026-06-18,74
CUST000145,DVC-b221adb62b,ANDROID,Y,2024-12-07,2026-08-26,5
CUST000145,DVC-a20a5faa50,ANDROID,N,2026-04-22,2026-06-22,70
CUST000146,DVC-644974380c,ANDROID,Y,2026-06-20,2026-08-31,0
CUST000147,DVC-53a6ef5ae4,IOS,Y,2024-03-29,2026-08-27,4
CUST000148,DVC-e20bb11f35,ANDROID,Y,2026-04-15,2026-08-30,1
CUST000149,DVC-fae97ce6a1,ANDROID,Y,2025-08-20,2026-08-29,2
CUST000149,DVC-454ef2064b,ANDROID,N,2026-02-14,2026-07-07,55
CUST000150,DVC-f2cb81e8fb,ANDROID,Y,2025-02-13,2026-08-26,5
CUST000150,DVC-6c2b3674f1,IOS,N,2026-04-20,2026-08-21,10
CUST000151,DVC-c0c750777b,ANDROID,Y,2024-10-27,2026-08-30,1
CUST000151,DVC-df6484ae14,IOS,N,2024-05-31,2026-07-14,48
CUST000152,DVC-a356ca536c,ANDROID,Y,2024-11-27,2026-08-28,3
CUST000153,DVC-6e9186b60a,ANDROID,Y,2024-12-04,2026-08-27,4
CUST000153,DVC-a6a0bdb37e,ANDROID,N,2026-06-09,2026-08-17,14
CUST000153,DVC-1d993f764a,ANDROID,N,2024-02-22,2025-11-17,287
CUST000154,DVC-92bf11ea8d,ANDROID,Y,2025-04-15,2026-08-31,0
CUST000154,DVC-a36e7e3b50,WEB,N,2026-03-18,2026-08-03,28
CUST000154,DVC-672d8f12a1,IOS,N,2024-04-17,2026-08-17,14
CUST000155,DVC-7036050746,ANDROID,Y,2024-08-13,2026-08-25,6
CUST000156,DVC-6de87e63b2,ANDROID,Y,2024-10-02,2026-08-31,0
CUST000157,DVC-747dce31eb,ANDROID,Y,2026-01-18,2026-08-31,0
CUST000157,DVC-8fe4827801,ANDROID,N,2024-04-25,2026-06-19,73
CUST000157,DVC-1d8564899a,ANDROID,N,2025-07-07,2026-07-29,33
CUST000158,DVC-25fd7a880e,ANDROID,Y,2025-01-22,2026-08-25,6
CUST000158,DVC-e4405af536,ANDROID,N,2023-11-09,2025-12-22,252
CUST000159,DVC-4623bf94e2,ANDROID,Y,2026-07-16,2026-08-28,3
CUST000160,DVC-20597fcd6a,ANDROID,Y,2025-02-06,2026-08-31,0
CUST000161,DVC-72dc26f685,ANDROID,Y,2025-11-28,2026-08-29,2
CUST000162,DVC-7258491b5b,ANDROID,Y,2025-02-07,2026-08-25,6
CUST000162,DVC-316071f1fb,ANDROID,N,2025-04-02,2026-08-07,24
CUST000163,DVC-aca8f57072,ANDROID,Y,2026-06-28,2026-08-25,6
CUST000164,DVC-471c543079,IOS,Y,2025-09-07,2026-08-27,4
CUST000165,DVC-68ec089f13,ANDROID,Y,2025-11-30,2026-08-31,0
CUST000166,DVC-a046c6b475,ANDROID,Y,2024-05-12,2026-08-31,0
CUST000166,DVC-a648317aac,ANDROID,N,2026-02-19,2026-07-01,61
CUST000167,DVC-51b67dc454,ANDROID,Y,2026-05-02,2026-08-29,2
CUST000167,DVC-0ffe37e245,ANDROID,N,2025-03-12,2026-08-15,16
CUST000168,DVC-0e01119170,ANDROID,Y,2025-02-20,2026-08-26,5
CUST000168,DVC-15a3d353c2,ANDROID,N,2024-12-30,2026-07-29,33
CUST000169,DVC-f78b75526f,ANDROID,Y,2025-10-15,2026-08-25,6
CUST000169,DVC-55787e8037,ANDROID,N,2025-11-30,2026-07-17,45
CUST000170,DVC-d803ebda69,ANDROID,Y,2025-11-20,2026-08-30,1
CUST000170,DVC-9136f5b69f,ANDROID,N,2025-09-30,2026-08-27,4
CUST000171,DVC-5d8c28f996,IOS,Y,2025-08-17,2026-08-30,1
CUST000172,DVC-ae537c22b0,ANDROID,Y,2025-01-08,2026-08-26,5
CUST000172,DVC-be3cd20fd6,ANDROID,N,2026-04-25,2026-06-24,68
CUST000173,DVC-03ad3dada3,ANDROID,Y,2024-10-19,2026-08-27,4
CUST000173,DVC-debde0158a,ANDROID,N,2024-10-19,2025-08-23,373
CUST000174,DVC-f185ba9f2d,IOS,Y,2024-11-10,2026-08-31,0
CUST000175,DVC-8670d5d9a3,ANDROID,Y,2025-11-02,2026-08-29,2
CUST000176,DVC-6542849be7,WEB,Y,2025-03-02,2026-08-30,1
CUST000177,DVC-108cb45165,WEB,Y,2025-11-15,2026-08-26,5
CUST000177,DVC-cdb2c4e0cd,IOS,N,2024-03-12,2026-08-17,14
CUST000178,DVC-29f297627e,ANDROID,Y,2026-05-11,2026-08-27,4
CUST000178,DVC-216484d8ab,IOS,N,2024-10-19,2026-06-24,68
CUST000179,DVC-e61f0b4a3d,ANDROID,Y,2025-09-09,2026-08-27,4
CUST000180,DVC-b9811c06ac,ANDROID,Y,2025-06-19,2026-08-30,1
CUST000181,DVC-e863e875d2,IOS,Y,2025-10-01,2026-08-26,5
CUST000182,DVC-ec2c60710f,IOS,Y,2025-02-20,2026-08-31,0
CUST000182,DVC-3343f6ecf4,IOS,N,2025-08-01,2026-02-25,187
CUST000183,DVC-4c8e3153b8,ANDROID,Y,2025-11-20,2026-08-25,6
CUST000184,DVC-34fed97884,WEB,Y,2024-06-23,2026-08-26,5
CUST000184,DVC-34486968f8,ANDROID,N,2024-09-15,2026-06-29,63
CUST000185,DVC-b7bea3ad14,ANDROID,Y,2024-06-16,2026-08-27,4
CUST000186,DVC-67f441124e,ANDROID,Y,2024-09-19,2026-08-28,3
CUST000187,DVC-4362db2dd4,WEB,Y,2024-07-26,2026-08-30,1
CUST000188,DVC-cc1c1c9573,IOS,Y,2026-02-05,2026-08-27,4
CUST000189,DVC-670cbada2a,WEB,Y,2025-05-13,2026-08-26,5
CUST000190,DVC-2d7a33a366,ANDROID,Y,2026-02-18,2026-08-29,2
CUST000190,DVC-24867251ea,IOS,N,2025-02-14,2026-07-27,35
CUST000190,DVC-b933b05a45,ANDROID,N,2025-05-03,2026-06-28,64
CUST000191,DVC-c1cd07d084,IOS,Y,2026-04-01,2026-08-28,3
CUST000191,DVC-e1d199b57c,IOS,N,2024-02-26,2026-07-28,34
CUST000192,DVC-ccdb5162e2,ANDROID,Y,2024-07-19,2026-08-28,3
CUST000193,DVC-fb0338a669,ANDROID,Y,2025-06-27,2026-08-26,5
CUST000194,DVC-c2221b13a1,ANDROID,Y,2024-11-07,2026-08-26,5
CUST000195,DVC-f860912517,ANDROID,Y,2026-03-18,2026-08-30,1
CUST000195,DVC-67cb6ad67b,IOS,N,2024-05-08,2026-08-24,7
CUST000196,DVC-3b3a755a38,WEB,Y,2025-04-11,2026-08-30,1
CUST000197,DVC-deb60c86c9,ANDROID,Y,2026-06-10,2026-08-27,4
CUST000198,DVC-f5b1b6a96e,IOS,Y,2025-05-11,2026-08-27,4
CUST000199,DVC-b79da07ff9,WEB,Y,2025-02-27,2026-08-25,6
CUST000199,DVC-8a528c789c,WEB,N,2024-06-13,2026-07-03,59
CUST000199,DVC-7beca9ae44,ANDROID,N,2025-02-22,2025-09-01,364
CUST000200,DVC-68e97e0435,ANDROID,Y,2025-07-18,2026-08-30,1
CUST000201,DVC-51c7160cf5,ANDROID,Y,2026-03-29,2026-08-27,4
CUST000201,DVC-dbf06fe00f,IOS,N,2025-10-30,2026-08-30,1
CUST000202,DVC-8ad3a6af63,ANDROID,Y,2024-09-14,2026-08-31,0
CUST000202,DVC-e96d96d92c,IOS,N,2024-08-08,2026-07-02,60
CUST000203,DVC-c2d80b5dd1,ANDROID,Y,2024-11-06,2026-08-28,3
CUST000204,DVC-366fd00aec,ANDROID,Y,2026-06-14,2026-08-27,4
CUST000204,DVC-ad4f89e4a6,WEB,N,2026-02-27,2026-08-21,10
CUST000205,DVC-01d66cd9ef,WEB,Y,2026-01-25,2026-08-31,0
CUST000206,DVC-33989eccbb,ANDROID,Y,2024-05-13,2026-08-28,3
CUST000206,DVC-81eb3fb519,IOS,N,2024-07-16,2026-07-07,55
CUST000206,DVC-1ca7583f1c,ANDROID,N,2024-05-25,2025-08-05,391
CUST000207,DVC-3bde8cbf27,ANDROID,Y,2025-01-30,2026-08-29,2
CUST000207,DVC-422ca255d7,ANDROID,N,2024-06-24,2026-06-28,64
CUST000208,DVC-60ae183cde,ANDROID,Y,2024-07-05,2026-08-30,1
CUST000208,DVC-ce96e3cce0,ANDROID,N,2024-07-11,2026-08-07,24
CUST000208,DVC-d514fa7620,ANDROID,N,2025-10-31,2026-08-09,22
CUST000209,DVC-1708c59da5,IOS,Y,2024-10-24,2026-08-28,3
CUST000209,DVC-8b02dd6937,ANDROID,N,2026-02-25,2026-05-14,109
CUST000209,DVC-6684ce66f7,WEB,N,2024-11-05,2026-07-09,53
CUST000210,DVC-7b3b0b365f,ANDROID,Y,2025-04-23,2026-08-28,3
CUST000210,DVC-8dcfd4b59b,ANDROID,N,2025-11-16,2026-07-28,34
CUST000211,DVC-f4618208e9,IOS,Y,2024-11-03,2026-08-31,0
CUST000212,DVC-1a51e9d2fc,ANDROID,Y,2025-05-31,2026-08-29,2
CUST000213,DVC-519db81faa,ANDROID,Y,2024-07-11,2026-08-31,0
CUST000213,DVC-2bcb1e7015,IOS,N,2025-02-27,2026-08-25,6
CUST000214,DVC-1af58f9115,WEB,Y,2024-04-24,2026-08-27,4
CUST000215,DVC-c45293379f,ANDROID,Y,2024-06-18,2026-08-29,2
CUST000215,DVC-5bd9f4a5ad,IOS,N,2024-07-27,2026-08-20,11
CUST000216,DVC-2a8d279e01,IOS,Y,2026-06-23,2026-08-25,6
CUST000217,DVC-bcbc869f21,ANDROID,Y,2026-06-08,2026-08-25,6
CUST000218,DVC-4b24eea49e,ANDROID,Y,2026-05-21,2026-08-25,6
CUST000218,DVC-ab7fc7fe4d,WEB,N,2025-11-15,2026-08-09,22
CUST000219,DVC-a432fd64bb,IOS,Y,2025-12-10,2026-08-28,3
CUST000220,DVC-4f4c825ffc,IOS,Y,2025-10-26,2026-08-28,3
CUST000220,DVC-644c620200,IOS,N,2026-04-19,2026-06-24,68
